Chr WinCenter
OU015761.1 150000
OU015761.1 250000
OU015761.1 350000
OU015761.1 450000
OU015761.1 550000
OU015761.1 650000
OU015761.1 750000
OU015761.1 850000
OU015761.1 950000
OU015761.1 1050000
OU015761.1 1150000
OU015761.1 1250000
OU015761.1 1350000
OU015761.1 1450000
OU015761.1 1550000
OU015761.1 1650000
OU015761.1 1750000
OU015761.1 1850000
OU015761.1 1950000
OU015761.1 2050000
OU015761.1 2150000
OU015761.1 2250000
OU015761.1 2350000
OU015761.1 2450000
OU015761.1 2550000
OU015761.1 2650000
OU015761.1 2750000
OU015761.1 2850000
OU015761.1 2950000
OU015761.1 3050000
OU015761.1 3150000
OU015761.1 3250000
OU015761.1 3350000
OU015761.1 3450000
OU015761.1 3550000
OU015761.1 3650000
OU015761.1 3750000
OU015761.1 3850000
OU015761.1 3950000
OU015761.1 4050000
OU015761.1 4150000
OU015761.1 4250000
OU015761.1 4350000
OU015761.1 4450000
OU015761.1 4550000
OU015761.1 4650000
OU015761.1 4750000
OU015761.1 4850000
OU015761.1 4950000
OU015761.1 5050000
OU015761.1 5150000
OU015761.1 5250000
OU015761.1 5350000
OU015761.1 5450000
OU015761.1 5550000
OU015761.1 5650000
OU015761.1 5750000
OU015761.1 5850000
OU015761.1 5950000
OU015761.1 6050000
OU015761.1 6150000
OU015761.1 6250000
OU015761.1 6350000
OU015761.1 6450000
OU015761.1 6550000
OU015761.1 6650000
OU015761.1 6750000
OU015761.1 6850000
OU015761.1 6950000
OU015761.1 7050000
OU015761.1 7150000
OU015761.1 7250000
OU015761.1 7350000
OU015761.1 7450000
OU015761.1 7550000
OU015761.1 7650000
OU015761.1 7750000
OU015761.1 7850000
OU015761.1 7950000
OU015761.1 8050000
OU015761.1 8150000
OU015761.1 8250000
OU015761.1 8350000
OU015761.1 8450000
OU015761.1 8550000
OU015761.1 8650000
OU015761.1 8750000
OU015761.1 8850000
OU015761.1 8950000
OU015761.1 9050000
OU015761.1 9150000
OU015761.1 9250000
OU015761.1 9350000
OU015761.1 9450000
OU015761.1 9550000
OU015761.1 9650000
OU015761.1 9750000
OU015761.1 9850000
OU015761.1 9950000
OU015761.1 10050000
OU015761.1 10150000
OU015761.1 10250000
OU015761.1 10350000
OU015761.1 10450000
OU015761.1 10550000
OU015761.1 10650000
OU015761.1 10750000
OU015761.1 10850000
OU015761.1 10950000
OU015761.1 11050000
OU015761.1 11150000
OU015761.1 11250000
OU015761.1 11350000
OU015761.1 11450000
OU015761.1 11550000
OU015761.1 11650000
OU015761.1 11750000
OU015761.1 11850000
OU015761.1 11950000
OU015761.1 12050000
OU015761.1 12150000
OU015761.1 12250000
OU015761.1 12350000
OU015761.1 12450000
OU015761.1 12550000
OU015761.1 12650000
OU015761.1 12750000
OU015761.1 12850000
OU015761.1 12950000
OU015761.1 13050000
OU015761.1 13150000
OU015761.1 13250000
OU015761.1 13350000
OU015761.1 13450000
OU015761.1 13550000
OU015761.1 13650000
OU015761.1 13750000
OU015761.1 13850000
OU015761.1 13950000
OU015761.1 14050000
OU015761.1 14150000
OU015761.1 14250000
OU015761.1 14350000
OU015761.1 14450000
OU015761.1 14550000
OU015761.1 14650000
OU015761.1 14750000
OU015761.1 14850000
OU015761.1 14950000
OU015761.1 15050000
OU015761.1 15150000
OU015761.1 15250000
OU015761.1 15350000
OU015761.1 15450000
OU015761.1 15550000
OU015761.1 15650000
OU015761.1 15750000
OU015761.1 15850000
OU015761.1 15950000
OU015761.1 16050000
OU015761.1 16150000
OU015761.1 16250000
OU015761.1 16350000
OU015761.1 16450000
OU015761.1 16550000
OU015761.1 16650000
OU015761.1 16750000
OU015761.1 16850000
OU015761.1 16950000
OU015761.1 17050000
OU015761.1 17150000
OU015761.1 17250000
OU015761.1 17350000
OU015761.1 17450000
OU015761.1 17550000
OU015761.1 17650000
OU015761.1 17750000
OU015761.1 17850000
OU015761.1 17950000
OU015761.1 18050000
OU015761.1 18150000
OU015761.1 18250000
OU015761.1 18350000
OU015761.1 18450000
OU015761.1 18550000
OU015761.1 18650000
OU015761.1 18750000
OU015761.1 18850000
OU015761.1 18950000
OU015761.1 19050000
OU015761.1 19150000
OU015761.1 19250000
OU015761.1 19350000
OU015761.1 19450000
OU015761.1 19550000
OU015761.1 19650000
OU015761.1 19750000
OU015761.1 19850000
OU015761.1 19950000
OU015761.1 20050000
OU015761.1 20150000
OU015761.1 20250000
OU015761.1 20350000
OU015761.1 20450000
OU015761.1 20550000
OU015761.1 20650000
OU015761.1 20750000
OU015761.1 20850000
OU015761.1 20950000
OU015761.1 21050000
OU015761.1 21150000
OU015761.1 21250000
OU015761.1 21350000
OU015761.1 21450000
OU015761.1 21550000
OU015761.1 21650000
OU015761.1 21750000
OU015761.1 21850000
OU015761.1 21950000
OU015761.1 22050000
OU015761.1 22150000
OU015761.1 22250000
OU015761.1 22350000
OU015761.1 22450000
OU015761.1 22550000
OU015761.1 22650000
OU015761.1 22750000
OU015761.1 22850000
OU015761.1 22950000
OU015761.1 23050000
OU015761.1 23150000
OU015761.1 23250000
OU015761.1 23350000
OU015761.1 23450000
OU015761.1 23550000
OU015761.1 23650000
OU015761.1 23750000
OU015761.1 23850000
OU015761.1 23950000
OU015761.1 24050000
OU015761.1 24150000
OU015761.1 24250000
OU015761.1 24350000
OU015761.1 24450000
OU015761.1 24550000
OU015761.1 24650000
OU015761.1 24750000
OU015761.1 24850000
OU015761.1 24950000
OU015761.1 25050000
OU015761.1 25150000
OU015761.1 25250000
OU015761.1 25350000
OU015761.1 25450000
OU015761.1 25550000
OU015761.1 25650000
OU015761.1 25750000
OU015761.1 25850000
OU015761.1 25950000
OU015761.1 26050000
OU015761.1 26150000
OU015761.1 26250000
OU015761.1 26350000
OU015761.1 26450000
OU015761.1 26550000
OU015761.1 26650000
OU015761.1 26750000
OU015761.1 26850000
OU015761.1 26950000
OU015761.1 27050000
OU015761.1 27150000
OU015761.1 27250000
OU015761.1 27350000
OU015761.1 27450000
OU015761.1 27550000
OU015761.1 27650000
OU015761.1 27750000
OU015761.1 27850000
OU015761.1 27950000
OU015761.1 28050000
OU015761.1 28150000
OU015761.1 28250000
OU015761.1 28350000
OU015761.1 28450000
OU015761.1 28550000
OU015761.1 28650000
OU015761.1 28750000
OU015761.1 28850000
OU015761.1 28950000
OU015761.1 29050000
OU015761.1 29150000
OU015761.1 29250000
OU015761.1 29350000
OU015761.1 29450000
OU015761.1 29550000
OU015761.1 29650000
OU015761.1 29750000
OU015761.1 29850000
OU015761.1 29950000
OU015761.1 30050000
OU015761.1 30150000
OU015761.1 30250000
OU015761.1 30350000
OU015761.1 30450000
OU015761.1 30550000
OU015761.1 30650000
OU015761.1 30750000
OU015761.1 30850000
OU015761.1 30950000
OU015761.1 31050000
OU015761.1 31150000
OU015761.1 31250000
OU015761.1 31350000
OU015761.1 31450000
OU015761.1 31550000
OU015761.1 31650000
OU015761.1 31750000
OU015761.1 31850000
OU015761.1 31950000
OU015761.1 32050000
OU015761.1 32150000
OU015761.1 32250000
OU015761.1 32350000
OU015761.1 32450000
OU015761.1 32550000
OU015761.1 32650000
OU015761.1 32750000
OU015761.1 32850000
OU015761.1 32950000
OU015761.1 33050000
OU015761.1 33150000
OU015761.1 33250000
OU015761.1 33350000
OU015761.1 33450000
OU015761.1 33550000
OU015761.1 33650000
OU015761.1 33750000
OU015761.1 33850000
OU015761.1 33950000
OU015761.1 34050000
OU015761.1 34150000
OU015761.1 34250000
OU015761.1 34350000
OU015761.1 34450000
OU015761.1 34550000
OU015761.1 34650000
OU015761.1 34750000
OU015761.1 34850000
OU015761.1 34950000
OU015761.1 35050000
OU015761.1 35150000
OU015761.1 35250000
OU015761.1 35350000
OU015761.1 35450000
OU015761.1 35550000
OU015761.1 35650000
OU015761.1 35750000
OU015761.1 35850000
OU015761.1 35950000
OU015761.1 36050000
OU015761.1 36150000
OU015761.1 36250000
OU015761.1 36350000
OU015761.1 36450000
OU015761.1 36550000
OU015761.1 36650000
OU015761.1 36750000
OU015761.1 36850000
OU015761.1 36950000
OU015761.1 37050000
OU015761.1 37150000
OU015761.1 37250000
OU015761.1 37350000
OU015761.1 37450000
OU015761.1 37550000
OU015761.1 37650000
OU015761.1 37750000
OU015761.1 37850000
OU015761.1 37950000
OU015761.1 38050000
OU015761.1 38150000
OU015761.1 38250000
OU015761.1 38350000
OU015761.1 38450000
OU015761.1 38550000
OU015761.1 38650000
OU015761.1 38750000
OU015761.1 38850000
OU015761.1 38950000
OU015761.1 39050000
OU015761.1 39150000
OU015761.1 39250000
OU015761.1 39350000
OU015761.1 39450000
OU015761.1 39550000
OU015761.1 39650000
OU015761.1 39750000
OU015761.1 39850000
OU015761.1 39950000
OU015761.1 40050000
OU015761.1 40150000
OU015761.1 40250000
OU015761.1 40350000
OU015761.1 40450000
OU015761.1 40550000
OU015761.1 40650000
OU015761.1 40750000
OU015761.1 40850000
OU015761.1 40950000
OU015761.1 41050000
OU015761.1 41150000
OU015761.1 41250000
OU015761.1 41350000
OU015761.1 41450000
OU015761.1 41550000
OU015761.1 41650000
OU015761.1 41750000
OU015761.1 41850000
OU015761.1 41950000
OU015761.1 42050000
OU015761.1 42150000
OU015761.1 42250000
OU015761.1 42350000
OU015761.1 42450000
OU015761.1 42550000
OU015761.1 42650000
OU015761.1 42750000
OU015761.1 42850000
OU015761.1 42950000
OU015761.1 43050000
OU015761.1 43150000
OU015761.1 43250000
OU015761.1 43350000
OU015761.1 43450000
OU015761.1 43550000
OU015761.1 43650000
OU015761.1 43750000
OU015761.1 43850000
OU015761.1 43950000
OU015761.1 44050000
OU015761.1 44150000
OU015761.1 44250000
OU015761.1 44350000
OU015761.1 44450000
OU015761.1 44550000
OU015761.1 44650000
OU015761.1 44750000
OU015761.1 44850000
OU015761.1 44950000
OU015761.1 45050000
OU015761.1 45150000
OU015761.1 45250000
OU015761.1 45350000
OU015761.1 45450000
OU015761.1 45550000
OU015761.1 45650000
OU015761.1 45750000
OU015761.1 45850000
OU015761.1 45950000
OU015761.1 46050000
OU015761.1 46150000
OU015761.1 46250000
OU015761.1 46350000
OU015761.1 46450000
OU015761.1 46550000
OU015761.1 46650000
OU015761.1 46750000
OU015761.1 46850000
OU015761.1 46950000
OU015761.1 47050000
OU015761.1 47150000
OU015761.1 47250000
OU015761.1 47350000
OU015761.1 47450000
OU015761.1 47550000
OU015761.1 47650000
OU015761.1 47750000
OU015761.1 47850000
OU015761.1 47950000
OU015761.1 48050000
OU015761.1 48150000
OU015761.1 48250000
OU015761.1 48350000
OU015761.1 48450000
OU015761.1 48550000
OU015761.1 48650000
OU015761.1 48750000
OU015761.1 48850000
OU015761.1 48950000
OU015761.1 49050000
OU015761.1 49150000
OU015761.1 49250000
OU015761.1 49350000
OU015761.1 49450000
OU015761.1 49550000
OU015761.1 49650000
OU015761.1 49750000
OU015761.1 49850000
OU015761.1 49950000
OU015761.1 50050000
OU015761.1 50150000
OU015761.1 50250000
OU015761.1 50350000
OU015761.1 50450000
OU015761.1 50550000
OU015761.1 50650000
OU015761.1 50750000
OU015761.1 50850000
OU015761.1 50950000
OU015761.1 51050000
OU015761.1 51150000
OU015761.1 51250000
OU015761.1 51350000
OU015761.1 51450000
OU015761.1 51550000
OU015761.1 51650000
OU015761.1 51750000
OU015761.1 51850000
OU015761.1 51950000
OU015761.1 52050000
OU015761.1 52150000
OU015761.1 52250000
OU015761.1 52350000
OU015761.1 52450000
OU015761.1 52550000
OU015761.1 52650000
OU015761.1 52750000
OU015761.1 52850000
OU015761.1 52950000
OU015761.1 53050000
OU015761.1 53150000
OU015761.1 53250000
OU015761.1 53350000
OU015761.1 53450000
